article_id,article_title,file_name,bytes,downloaded_md5,figshare_md5,download_url,article_url
27325209,SI.10,SI_10.m,5490,5e1ae78921e5c0c4a8a066da4f550a3b,5e1ae78921e5c0c4a8a066da4f550a3b,https://ndownloader.figshare.com/files/50060670,https://figshare.com/articles/figure/SI_10/27325209
27325197,SI.9,SI_9.m,6237,2d1469cb2b3b7daa7b9f599f9cfe3d81,2d1469cb2b3b7daa7b9f599f9cfe3d81,https://ndownloader.figshare.com/files/50060628,https://figshare.com/articles/figure/SI_9/27325197
27325182,SI.7,SI_7.m,9426,df21399cc7d55a4b05407a6f306e1f2b,df21399cc7d55a4b05407a6f306e1f2b,https://ndownloader.figshare.com/files/50060583,https://figshare.com/articles/figure/SI_6/27325182
27325182,SI.7,SSankey.m,24480,c069805935bc201f7649092e9938a065,c069805935bc201f7649092e9938a065,https://ndownloader.figshare.com/files/50060586,https://figshare.com/articles/figure/SI_6/27325182
27325173,SI.5,SI_5.m,4050,c529cfc7b326295dae1189bc2395af9a,c529cfc7b326295dae1189bc2395af9a,https://ndownloader.figshare.com/files/50060520,https://figshare.com/articles/figure/SI_5/27325173
27325167,SI.4,SI_4.m,10203,f974d94bd607a787a2b0031b1488f2fa,f974d94bd607a787a2b0031b1488f2fa,https://ndownloader.figshare.com/files/50060487,https://figshare.com/articles/figure/SI_4/27325167
27325146,SI.3,SI_3.m,3578,01bea8ec1afd1cd843a93d6d85be52a5,01bea8ec1afd1cd843a93d6d85be52a5,https://ndownloader.figshare.com/files/50060427,https://figshare.com/articles/figure/SI_3/27325146
27325128,SI.2,SI_2.m,9691,31f7b054165fadfa297ba4ec6e25aa1d,31f7b054165fadfa297ba4ec6e25aa1d,https://ndownloader.figshare.com/files/50060388,https://figshare.com/articles/figure/SI_2/27325128
27325128,SI.2,brewermap.m,21790,967a2c965023eaa2bf98197dde70066b,967a2c965023eaa2bf98197dde70066b,https://ndownloader.figshare.com/files/50060391,https://figshare.com/articles/figure/SI_2/27325128
27325116,SI.1,SI_1.m,4288,af39b3593faaf3ab7ec684b120b7a7aa,af39b3593faaf3ab7ec684b120b7a7aa,https://ndownloader.figshare.com/files/50060367,https://figshare.com/articles/figure/SI_1/27325116
27321399,ExtDatFig.1,ExtDatFig_1.m,2201,f5d1aef22f1e667d15398b7815640f39,f5d1aef22f1e667d15398b7815640f39,https://ndownloader.figshare.com/files/50051325,https://figshare.com/articles/figure/ExtDatFig_1/27321399
27321390,Fig.3,Fig_3.m,3898,5c4e71d3bb8a28e262cf41ecda7cc174,5c4e71d3bb8a28e262cf41ecda7cc174,https://ndownloader.figshare.com/files/50051310,https://figshare.com/articles/figure/Fig_3/27321390
27321384,Fig.2,Fig_2.m,8346,f25760fe0d2813e43b4dcece3e3854af,f25760fe0d2813e43b4dcece3e3854af,https://ndownloader.figshare.com/files/50051280,https://figshare.com/articles/figure/Fig_2/27321384
27321378,Fig.1,Fig_1.m,11130,9925cf728c7431b9d3a38327dae2957b,9925cf728c7431b9d3a38327dae2957b,https://ndownloader.figshare.com/files/50051247,https://figshare.com/articles/figure/Fig_1/27321378
26139094,ExtDatFig.2,ExtDatFig_2.m,16223,c39198f6b11d410872f53230000ee9b4,c39198f6b11d410872f53230000ee9b4,https://ndownloader.figshare.com/files/47346688,https://figshare.com/articles/figure/ExtDatFig_2/26139094
